transposon,host
ASSN,1
ASSN,3
ASSN,5
ASSN,7
ASSN,9
ASSN,41
ASSN,43
ASSN,45
ASSN,47
ASSN,49
ASSN,81
ASSN,83
ASSN,85
ASSN,87
ASSN,89
ASSN,121
ASSN,123
ASSN,125
ASSN,127
ASSN,129
ASSN,161
ASSN,163
ASSN,165
ASSN,167
ASSN,169
ASSN,201
ASSN,203
ASSN,205
ASSN,207
ASSN,209
ASSN,241
ASSN,243
ASSN,245
ASSN,247
ASSN,249
ASSN,281
ASSN,283
ASSN,285
ASSN,287
ASSN,289
ASSN,321
ASSN,323
ASSN,325
ASSN,327
ASSN,329
ASSN,361
ASSN,363
ASSN,365
ASSN,367
ASSN,369
QNMH,1
QNMH,3
QNMH,5
QNMH,7
QNMH,9
QNMH,41
QNMH,43
QNMH,45
QNMH,47
QNMH,49
QNMH,81
QNMH,83
QNMH,85
QNMH,87
QNMH,89
QNMH,121
QNMH,123
QNMH,125
QNMH,127
QNMH,129
QNMH,161
QNMH,163
QNMH,165
QNMH,167
QNMH,169
QNMH,201
QNMH,203
QNMH,205
QNMH,207
QNMH,209
QNMH,241
QNMH,243
QNMH,245
QNMH,247
QNMH,249
QNMH,281
QNMH,283
QNMH,285
QNMH,287
QNMH,289
QNMH,321
QNMH,323
QNMH,325
QNMH,327
QNMH,329
QNMH,361
QNMH,363
QNMH,365
QNMH,367
QNMH,369
AIKP,1
AIKP,3
AIKP,5
AIKP,7
AIKP,9
AIKP,41
AIKP,43
AIKP,45
AIKP,47
AIKP,49
AIKP,81
AIKP,83
AIKP,85
AIKP,87
AIKP,89
AIKP,121
AIKP,123
AIKP,125
AIKP,127
AIKP,129
AIKP,161
AIKP,163
AIKP,165
AIKP,167
AIKP,169
AIKP,201
AIKP,203
AIKP,205
AIKP,207
AIKP,209
AIKP,241
AIKP,243
AIKP,245
AIKP,247
AIKP,249
AIKP,281
AIKP,283
AIKP,285
AIKP,287
AIKP,289
AIKP,321
AIKP,323
AIKP,325
